name,common,ra_deg,dec_deg,major_arcmin,type,minor_arcmin,pos_angle,messier
IC0342,,56.702083,68.096361,19.77,G,18.79,0,
IC0343,,55.029750,-18.443472,1.51,G,0.66,113,
IC0344,,55.373042,-4.665861,0.89,G,0.47,42,
IC0345,,55.288042,-18.314139,0.88,G,0.73,37,
IC0346,,55.436083,-18.266972,1.95,G,1.47,69,
IC0347,,55.636042,-4.298639,1.37,G,1.02,138,
IC0348,omi Per Cloud,56.142458,32.162833,10.00,Cl+N,10.00,,
IC0349,Barnard's Merope Nebula,56.583792,23.939806,25.70,RfN,,,
IC0350,,56.152708,-11.800750,1.09,G,0.79,165,
IC0351,,56.887542,35.046917,0.12,PN,,,
IC0352,,56.905958,-8.731833,0.70,G,0.48,119,
IC0353,,58.254458,25.848000,181.97,Neb,30.20,,
IC0354,,58.491292,23.147000,128.82,Neb,,,
IC0355,,58.442750,19.973917,0.67,G,0.56,161,
IC0356,,61.945458,69.812444,4.02,G,3.73,90,
IC0357,,60.933333,22.159111,0.94,G,0.61,147,
IC0358,,60.928667,19.894944,1.18,G,0.28,63,
IC0359,,63.118167,27.701972,1.30,G,1.30,105,
IC0359A,,64.670833,28.290000,15.00,RfN,10.00,,
IC0360,,62.260708,26.131194,180.00,Neb,100.00,,
IC0361,,64.711250,58.249500,7.20,OCl,,,
IC0362,,64.176792,-12.200111,1.77,G,1.03,5,
IC0363,,64.730917,3.033028,0.33,G,0.31,25,
IC0364,,64.777917,3.188944,0.78,G,0.49,72,
IC0365,,64.808917,3.348333,0.88,G,0.56,34,
IC0366,,64.923083,2.359806,0.34,G,0.20,20,
IC0367,,65.170792,-14.781056,1.74,G,0.61,140,
IC0368,,65.678000,-12.615167,0.99,G,0.83,164,
IC0369,,65.867583,-11.790083,0.76,G,0.76,35,
IC0370,,66.006958,-9.394833,0.99,G,0.89,123,
IC0371,,67.552458,-0.561000,,*,,,
IC0372,,67.517667,-5.009972,0.97,G,0.45,30,
IC0373,,67.678167,-4.870250,0.98,G,0.76,109,
IC0374,,68.136458,16.634167,0.23,G,0.19,80,
IC0375,,67.763083,-12.973972,0.82,G,0.54,59,
IC0376,,67.807458,-12.433361,0.59,G,0.48,50,
IC0377,,67.818917,-12.455083,1.00,G,0.83,99,
IC0378,,67.866333,-12.299750,0.79,G,0.48,69,
IC0379,,67.962208,-7.238361,0.93,G,0.82,35,
IC0380,,67.922167,-12.927028,0.76,G,0.46,75,
IC0382,,69.481458,-9.519333,1.99,G,1.18,173,
IC0383,,69.741792,9.892528,0.63,G,0.56,36,
IC0384,,69.826167,-7.839111,0.49,G,0.48,94,
IC0385,,69.881083,-7.097472,1.15,G,0.58,107,
IC0387,,70.434208,-7.086194,1.60,G,1.11,84,
IC0388,,70.472208,-7.305528,1.00,GPair,,,
IC0388 NED01,,70.468417,-7.304639,0.54,G,0.44,54,
IC0388 NED02,,70.476333,-7.306472,0.89,G,0.40,10,
IC0389,,70.498417,-7.311472,1.09,G,0.82,20,
IC0390,,70.516125,-7.206444,1.14,G,0.40,35,
IC0391,,74.338042,78.188833,1.39,G,1.33,25,
IC0392,,71.607333,3.505556,1.45,G,1.00,168,
IC0393,,71.965833,-15.525194,0.81,G,0.77,7,
IC0394,,72.211292,-6.280194,,Other,,,
IC0396,,74.495792,68.323389,2.38,G,1.45,86,
IC0397,,75.277625,40.424889,,Other,,,
IC0398,,74.552333,-7.780250,1.18,G,0.34,2,
IC0399,,75.433375,-4.288750,0.54,G,0.45,81,
IC0400,,75.940167,-15.819083,1.55,G,0.17,117,
IC0401,,76.081833,-10.076528,1.75,G,0.58,55,
IC0402,,76.561792,-9.107417,1.26,G,0.56,146,
IC0403,,78.815375,39.972111,,Other,,,
IC0404,,78.331667,9.754917,0.73,G,0.53,130,
IC0405,Flaming Star Nebula,79.122833,34.356167,50.00,Neb,30.00,,
IC0406,,79.454167,39.886028,,Other,,,
IC0407,,79.427542,-15.523444,1.93,G,0.36,164,
IC0408,,79.936917,-25.064333,1.95,G,0.97,162,
IC0409,,79.889792,3.318389,0.95,GPair,0.72,19,
IC0410,,80.675000,33.366667,40.00,Neb,30.00,,
IC0411,,80.077542,-25.324500,1.36,G,1.00,129,
IC0412,,80.486250,3.486389,1.17,G,0.65,0,
IC0413,,80.494917,3.482167,1.08,G,0.80,140,
IC0414,,80.479000,3.342028,0.60,G,0.44,140,
IC0415,,80.340125,-15.542583,0.76,G,0.58,148,
